Respondent,"1.1. Talked with City staff at a booth, event, festival, or at my door",1.2. Signed a petition,1.3. Participated in a grassroots protest or demonstration,1.4. Participated in Participatory Budgeting (Where residents identify ideas and vote on community projects),1.5. Participated in a City-led focus group,"1.6. Completed a City survey either online, by telephone, or in-person",1.7. Served on a City Council advisory committee,1.8. Made a written or verbal presentation to a City committee,1.9. Attended an open house,1.10. Called or emailed City staff directly,1.11. Watched a City Council or a committee meeting in-person or online,1.12. Helped plan an engagement activity with the City,1.13. Read and/or responded to social media posts by the City,"1.14. Received training, funding, or support to participate in a City-run community leadership program",1.15. Participated in an in-person or online consultation,1.16. Helped to design a space such as a community centre or the way a street is laid out,1.17. Submitted a compliment or complaint to the City through 311,1.18. Submitted feedback through the City's website,1.19. Called or emailed the Mayor or a City Councillor,1.20. This survey is the first time I am participating or getting involved with the City,3.1. The City considers my ideas,3.2. The City makes it clear where I can and cannot influence decisions,"3.3. The City communicates progress on projects, policy change or changes to services regularly",3.4. The City often uses technical or complex language that can be difficult to understand,3.5. I see people participating who have similar experiences or look like me,3.6. Some participants have less influence than others on decisions,"3.7. My community's strengths, abilities and ideas contribute to the solution",3.8. I understand the City<92>s reasoning for why a decision was made,"3.9. The City's engagement activities are relevant to me, my family and/or my community",3.10. The City creates spaces that are free of unwelcoming behaviour and offensive language,"7.1. I don't have regular internet access or data, which makes joining meetings harder","7.2. It is easier for people to say offensive things in virtual meetings (e.g. racist, sexist, homophobic, transphobic, and other oppressive language)",7.3. Virtual meetings are more convenient as I can join from anywhere,7.4. It is easy to connect with City staff during and/or after an virtual meeting to discuss my ideas or concerns,7.5. Logging into virtual activities is easy and I know where to get technical help,7.6. I have enough time to talk about the topic at virtual meetings,7.7. I can get to know other community members,7.8. I feel safe in a virtual environment,7.9. The software the City uses is easy to use,"7.10. The City should offer more hybrid meetings, where I can have options to attend meetings virtually or in-person"
626,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree
627,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Strongly Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
628,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Disagree,Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Agree
629,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Agree
630,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
631,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Agree
632,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,NA,Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,NA
634,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree
635,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,Agree,Neither agree nor disagree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree
636,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
637,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree
638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree
639,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree
640,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,NA,Strongly agree,Agree,Strongly agree,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree
641,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree
642,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree
643,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
644,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
645,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree
646,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Strongly Agree
647,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree
648,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,Disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree
649,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree
650,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Disagree,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree
651,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Neither agree nor disagree,Agree,NA,Neither agree nor disagree,Strongly agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Agree
652,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Disagree
654,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree
655,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,NA,Agree,Agree,Agree,Agree,NA,Disagree,Strongly Agree,Agree,Strongly Agree,NA,Strongly Agree,NA,NA,Strongly Agree
656,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree
657,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Disagree
658,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Disagree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Strongly Agree,Agree,Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree
659,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree
660,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree
661,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Neither Agree nor Disagree
662,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Disagree,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree
663,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,NA,NA
664,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree
665,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Disagree,Disagree,Agree,Strongly disagree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree
666,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree
667,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree
668,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree
669,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree
671,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
672,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree
673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,Disagree,Agree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,Strongly Agree,Neither Agree nor Disagree
674,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Strongly disagree,Strongly disagree,NA,Strongly agree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree
675,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,Strongly disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree
676,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Strongly Agree
677,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree
678,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Strongly Agree
679,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree
680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Strongly Agree
681,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree
682,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,Disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree
683,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree
684,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,Agree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Strongly Agree
685,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
686,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree
687,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree
688,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,Disagree,Agree
689,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree
690,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,Disagree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree
691,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,Neither agree nor disagree,Disagree,Agree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,Neither Agree nor Disagree
692,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree
694,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
695,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
696,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
697,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree
